"scenario","previous_n","current_n","harm_fraction_change","jaccard_similarity","fraction_newly_harmed","fraction_no_longer_harmed","mean_absolute_CATE_change"
"A_threshold",1000,1600,-0.04193,0.516142423025019,0.065434,0.107364,0.0123293910836994
"B_smooth_logistic",1000,1600,0.039712,0.805704522011924,0.095816,0.056104,0.0115231969748668
"A_threshold",1600,2200,-0.0111025,0.520426373812545,0.0666325,0.077735,0.00867422864848199
"B_smooth_logistic",1600,2200,0.03096375,0.878642960728716,0.0649175,0.03395375,0.00779847805432934
"A_threshold",2200,2800,-0.00638272727272727,0.59794726991075,0.0515763636363636,0.0579590909090909,0.00596560019427168
"B_smooth_logistic",2200,2800,0.00189272727272727,0.913571067112725,0.0363109090909091,0.0344181818181818,0.00594998298353628
"A_threshold",2800,3400,-0.00251642857142857,0.624438148303457,0.052185,0.0547014285714286,0.00501636032887762
"B_smooth_logistic",2800,3400,0.00519714285714286,0.925823587678418,0.03317,0.0279728571428571,0.00481190265035498
"A_threshold",3400,4000,-0.0102664705882353,0.659573320149572,0.0355670588235294,0.0458335294117647,0.00415233568321822
"B_smooth_logistic",3400,4000,0.00804764705882353,0.937634494024767,0.0294094117647059,0.0213617647058824,0.0039689359449305
