"scenario","interim_n","ATE_hat.q025.2.5%","ATE_hat.median.50%","ATE_hat.q975.97.5%","mean_CATE_hat.q025.2.5%","mean_CATE_hat.median.50%","mean_CATE_hat.q975.97.5%","fraction_negative_CATE.q025.2.5%","fraction_negative_CATE.median.50%","fraction_negative_CATE.q975.97.5%","fraction_CATE_meaningfully_harmed.q025.2.5%","fraction_CATE_meaningfully_harmed.median.50%","fraction_CATE_meaningfully_harmed.q975.97.5%"
"A_threshold",1000,-0.045582544,-0.009304628, 0.024462090,-0.046015229,-0.009434822, 0.025052316,0.000000000,0.707500000,1.000000000,0.0000000,0.2745000,1.0000000
"B_smooth_logistic",1000,-0.068890094,-0.037069615,-0.004599856,-0.068417701,-0.036948892,-0.004015856,0.563000000,1.000000000,1.000000000,0.0000000,0.8070000,1.0000000
"A_threshold",1600,-0.036965311,-0.009255974, 0.021272423,-0.036881593,-0.009223128, 0.020913934,0.000296875,0.723125000,1.000000000,0.0000000,0.2443750,0.9997031
"B_smooth_logistic",1600,-0.063532367,-0.037795442,-0.011644068,-0.063488996,-0.037720548,-0.011924951,0.648593750,1.000000000,1.000000000,0.2655625,0.8256250,1.0000000
"A_threshold",2200,-0.032678843,-0.009571490, 0.015627032,-0.032712320,-0.009535096, 0.015251518,0.014000000,0.764090909,1.000000000,0.0000000,0.2320455,0.9302159
"B_smooth_logistic",2200,-0.061369611,-0.037223909,-0.016560816,-0.061345972,-0.037220040,-0.016695843,0.699511364,1.000000000,1.000000000,0.4161818,0.8588636,1.0000000
"A_threshold",2800,-0.032393392,-0.010315801, 0.012307602,-0.032402369,-0.010358630, 0.012085456,0.108642857,0.795357143,1.000000000,0.0000000,0.2401786,0.9078839
"B_smooth_logistic",2800,-0.057900457,-0.037259203,-0.018427500,-0.057947590,-0.037367133,-0.018274540,0.752821429,1.000000000,1.000000000,0.4554554,0.8475000,1.0000000
"A_threshold",3400,-0.031566724,-0.010679425, 0.009893228,-0.031332642,-0.010647249, 0.009619424,0.205316176,0.812058824,1.000000000,0.0000000,0.2347059,0.9413309
"B_smooth_logistic",3400,-0.054980666,-0.037257468,-0.021067703,-0.055310897,-0.037184917,-0.020906796,0.755066176,1.000000000,1.000000000,0.4806691,0.8563235,1.0000000
"A_threshold",4000,-0.028266409,-0.010305434, 0.008611802,-0.028426771,-0.010308042, 0.008741898,0.276381250,0.800875000,1.000000000,0.0000000,0.2422500,0.8787625
"B_smooth_logistic",4000,-0.054008431,-0.037659681,-0.022284605,-0.054173768,-0.037531627,-0.022349424,0.799225000,1.000000000,1.000000000,0.5100938,0.8626250,1.0000000
