"replicate","scenario","interim_n","information_fraction","ATE_hat","mean_CATE_hat","sd_CATE_hat","min_CATE_hat","max_CATE_hat","fraction_negative_CATE","fraction_CATE_meaningfully_harmed","mean_true_CATE"
1,"A_threshold",1000,0.25,-0.0117011701170117,-0.011051326116211,0.0407402439622624,-0.103360733220396,0.163545406912589,0.654,0.47,-0.0098
1,"A_threshold",1600,0.4,-0.0189248320050008,-0.0184594561126787,0.0431569692395796,-0.113506670818275,0.16470224726021,0.695,0.544375,-0.010125
1,"A_threshold",2200,0.55,-0.0065479392958176,-0.006205498122761,0.0434317375577077,-0.122154696289521,0.164571362048667,0.590909090909091,0.405,-0.0101636363636364
1,"A_threshold",2800,0.7,-0.00400013061650993,-0.00377234852639979,0.0250237868515706,-0.0710210674445996,0.102086162684374,0.588214285714286,0.268571428571429,-0.0101714285714286
1,"A_threshold",3400,0.85,0.0010721062388762,0.00121738495037898,0.0277205026961391,-0.0750096215351063,0.117280915063454,0.515294117647059,0.224117647058824,-0.0101647058823529
1,"A_threshold",4000,1,0.00137637421777316,0.00175536657617486,0.0279820229941796,-0.0657633434830958,0.162192139248264,0.5195,0.22475,-0.01027
1,"B_smooth_logistic",1000,0.25,-0.0504395446029687,-0.0501462592987557,0.00108551794735636,-0.0515240407072949,-0.0477807658842146,1,1,-0.0378432539487629
1,"B_smooth_logistic",1600,0.4,-0.0428969943316139,-0.0427537675160082,0.00511139385468291,-0.0508870630930638,-0.0330837146259652,1,1,-0.0377166712521507
1,"B_smooth_logistic",2200,0.55,-0.0344288842541731,-0.0342455476303137,0.00557310773453425,-0.042975986448556,-0.0236543010089619,1,1,-0.0373208920931609
1,"B_smooth_logistic",2800,0.7,-0.0356506648174144,-0.0355990469380423,0.0119617833043608,-0.0556078315861365,-0.0140882978391951,1,0.871785714285714,-0.0374466593120928
1,"B_smooth_logistic",3400,0.85,-0.0335954463273904,-0.0335554651569926,0.0110203717791512,-0.0518217635130555,-0.0135384368640893,1,0.850882352941176,-0.0373586250951043
1,"B_smooth_logistic",4000,1,-0.0378965696221394,-0.0379041292752076,0.0165945774700646,-0.0662729437083056,-0.00877752793881301,1,0.81,-0.0373020988692602
2,"A_threshold",1000,0.25,-0.00621553884711779,-0.00605872960395862,0.0155578412624934,-0.050748803447737,0.0375646958053559,0.627,0.181,-0.00988
2,"A_threshold",1600,0.4,-0.011300847954359,-0.0112836535942563,0.0206667242544555,-0.070821706262293,0.0587927358266025,0.699375,0.3425,-0.0101
2,"A_threshold",2200,0.55,-0.0111991229861462,-0.0111945633617666,0.0198884950356271,-0.0724008821162109,0.0562694402082429,0.708181818181818,0.334090909090909,-0.00989090909090909
2,"A_threshold",2800,0.7,-0.00829663598732826,-0.00827800462128561,0.0248410159616738,-0.0847642234478079,0.0789022892897581,0.629642857142857,0.323214285714286,-0.0100285714285714
2,"A_threshold",3400,0.85,-0.00520461229169089,-0.00512207933800702,0.0202327404550254,-0.0666155611839398,0.0882278202141203,0.611470588235294,0.235,-0.0100705882352941
2,"A_threshold",4000,1,-0.00495933812814366,-0.00492244777652453,0.0137437456864321,-0.0464013287948672,0.0573637699880141,0.64925,0.13525,-0.01016
2,"B_smooth_logistic",1000,0.25,-0.0409854754771172,-0.0396176103214973,0.00908951970355663,-0.0512244613094945,-0.0193201461263034,1,0.991,-0.0367875267593859
2,"B_smooth_logistic",1600,0.4,-0.0523130154294796,-0.0514756882717263,0.00299917591199298,-0.0567840645086657,-0.0464650275199828,1,1,-0.0365433134287401
2,"B_smooth_logistic",2200,0.55,-0.0539193797526552,-0.0537560362622417,0.00492079753592813,-0.0625513266898229,-0.0455259317612846,1,1,-0.0368254676570453
2,"B_smooth_logistic",2800,0.7,-0.0581343131251276,-0.0578710858991877,0.0121263711100021,-0.0798233595650561,-0.0376311331356606,1,1,-0.0368966189880997
2,"B_smooth_logistic",3400,0.85,-0.0535231580739414,-0.0531608293754107,0.0204584037947332,-0.0904699231225938,-0.0193347950330464,1,0.989705882352941,-0.0370105543653515
2,"B_smooth_logistic",4000,1,-0.0492674976668278,-0.0488528195270631,0.0148695086994209,-0.0769910481069614,-0.0250865294443363,1,1,-0.0368986874763205
3,"A_threshold",1000,0.25,-0.0522492886557094,-0.0516856349168088,0.0338195645186699,-0.185300070474431,0.0334594746359975,0.966,0.833,-0.01088
3,"A_threshold",1600,0.4,-0.0344075232366047,-0.0343393230387335,0.0195837243645028,-0.0978014529014777,0.0307250810528516,0.969375,0.755625,-0.0109
3,"A_threshold",2200,0.55,-0.0256363848234585,-0.0254382075987759,0.0178338511904112,-0.0968156566351219,0.0294478106617381,0.932272727272727,0.597727272727273,-0.0104727272727273
3,"A_threshold",2800,0.7,-0.0129989862239726,-0.013045694491048,0.0216801454609668,-0.0895784441688393,0.0657782935316778,0.721785714285714,0.382142857142857,-0.0105285714285714
3,"A_threshold",3400,0.85,-0.0123157405552274,-0.0124043913645832,0.0162984132161804,-0.0665011444442749,0.0499604616134148,0.775882352941176,0.331764705882353,-0.0105647058823529
3,"A_threshold",4000,1,-0.0127642042272676,-0.0128877535624118,0.0169522885269997,-0.0638648701095434,0.0585224726622153,0.78275,0.3565,-0.01063
3,"B_smooth_logistic",1000,0.25,-0.0607979097578133,-0.0606602758359757,0.0237515409253309,-0.101732853867702,-0.0178223955714123,1,0.973,-0.0370770430914588
3,"B_smooth_logistic",1600,0.4,-0.0445930461896801,-0.0447099270850409,0.0109718858714956,-0.0628571884483319,-0.0244458692431692,1,1,-0.0367559480510904
3,"B_smooth_logistic",2200,0.55,-0.0439031491979145,-0.0438937128361633,0.0152150290241358,-0.0719747477330188,-0.0182860681461558,1,0.968636363636364,-0.0366341427295468
3,"B_smooth_logistic",2800,0.7,-0.0337462208671914,-0.033731331207059,0.0142451472539236,-0.0607276803569805,-0.0107933234630607,1,0.783214285714286,-0.0366662858878586
3,"B_smooth_logistic",3400,0.85,-0.0334650798940629,-0.0335068860219804,0.0104012654684209,-0.0535005605354675,-0.0171287382440472,1,0.894411764705882,-0.0364743040679109
3,"B_smooth_logistic",4000,1,-0.0403358083564033,-0.0402722684082614,0.0070134640391776,-0.0532518211831479,-0.0288550093432498,1,1,-0.0365968861822599
4,"A_threshold",1000,0.25,0.00820647242665591,0.00934175359227721,0.0105264118530713,-0.011195880577816,0.0578064392628994,0.184,0,-0.01068
4,"A_threshold",1600,0.4,0.00252120208657695,0.00359566053166252,0.00853921574829122,-0.0153353241918181,0.0396056812591081,0.379375,0,-0.010525
4,"A_threshold",2200,0.55,-0.00392394075527999,-0.00360980775676049,0.000654815174677799,-0.00475766772619555,-0.000608586185210466,1,0,-0.0102363636363636
4,"A_threshold",2800,0.7,-0.00457108791994573,-0.00457026920224422,0.00588347202552948,-0.0215774131815726,0.0204479361133483,0.791071428571429,0.000714285714285714,-0.0101571428571429
4,"A_threshold",3400,0.85,-0.00712670494028879,-0.00711910456064886,0.0127265340918918,-0.0448472412419972,0.0469542813733997,0.726470588235294,0.153529411764706,-0.01
4,"A_threshold",4000,1,-0.00130330861242044,-0.00123040422174998,0.0137389120666017,-0.044886790403965,0.0539679585632942,0.5535,0.08,-0.0102
4,"B_smooth_logistic",1000,0.25,-0.0347361549951744,-0.0328048102606343,0.0448389695949052,-0.123962648082098,0.0311684870340122,0.709,0.536,-0.0375522999834085
4,"B_smooth_logistic",1600,0.4,-0.04034165427826,-0.0398306207458766,0.045505009223212,-0.124626866870754,0.0343902378660809,0.7475,0.618125,-0.037199871264493
4,"B_smooth_logistic",2200,0.55,-0.0284303394698238,-0.0282512780827993,0.0396969819257452,-0.0996925424854952,0.0392252498151469,0.713181818181818,0.546818181818182,-0.0372247837196055
4,"B_smooth_logistic",2800,0.7,-0.0324033799355994,-0.0323350441212741,0.0331226403683318,-0.0912957755949863,0.0240481414793215,0.782857142857143,0.608214285714286,-0.0372384775462093
4,"B_smooth_logistic",3400,0.85,-0.0300173262727128,-0.0299549262166759,0.0283866347251821,-0.0780009373013549,0.0201012381839084,0.802647058823529,0.609705882352941,-0.0372620459020903
4,"B_smooth_logistic",4000,1,-0.0350304735114862,-0.0349766404370116,0.0232786988238867,-0.0745456096872909,0.00587383552745137,0.9265,0.69475,-0.0372983185961811
5,"A_threshold",1000,0.25,0.0130011702656343,0.0128293406185718,0.0228157758647226,-0.0475501932624548,0.104627674228994,0.302,0.059,-0.00936
5,"A_threshold",1600,0.4,0.0234835586948263,0.0234003201609908,0.00616331877546852,0.00686966918038324,0.0535404334195207,0,0,-0.0093
5,"A_threshold",2200,0.55,0.00902553930076866,0.0089757071017708,0.00666521378330524,-0.0111148297725994,0.0393609357399765,0.0895454545454545,0,-0.00941818181818182
5,"A_threshold",2800,0.7,0.00216799098311682,0.00223188806481263,0.00371328386254079,-0.00690099902701242,0.0226895994629118,0.293928571428571,0,-0.00955714285714286
5,"A_threshold",3400,0.85,0.000775099647018232,0.000853744788594967,1.70310285663327e-05,0.000762805316158514,0.00087248239368222,0,0,-0.00977647058823529
5,"A_threshold",4000,1,-0.00336912128836639,-0.00335351211603232,0.00447843906352092,-0.0149393775439099,0.0206619015033062,0.789,0,-0.00972
5,"B_smooth_logistic",1000,0.25,-0.0456140350877193,-0.0456819373976607,0.0403067242330793,-0.114721695912343,0.0254718552348384,0.826,0.69,-0.0371395367614522
5,"B_smooth_logistic",1600,0.4,-0.0489783653846154,-0.0486617179842595,0.0387942457335432,-0.110722789149773,0.0253755087089632,0.851875,0.73,-0.0371820536082708
