"scenario","interim_n","information_fraction","ATE_hat","mean_CATE_hat","sd_CATE_hat","min_CATE_hat","max_CATE_hat","fraction_negative_CATE","fraction_CATE_meaningfully_harmed","mean_true_CATE"
"A_threshold",1000,0.25,-0.00991300980306603,-0.00984842979336845,0.017633937085136,-0.0626536257755735,0.0579674978685151,0.652838,0.349596,-0.00997648
"B_smooth_logistic",1000,0.25,-0.0371704778493771,-0.037106998859944,0.0175294268021182,-0.0682248395684946,-0.00717667286712937,0.921998,0.751856,-0.0372334099416412
"A_threshold",1600,0.4,-0.00926761142403946,-0.00922641518334332,0.0155218409801257,-0.0556640769742491,0.0531592876631258,0.6784275,0.30770625,-0.00998555
"B_smooth_logistic",1600,0.4,-0.0372866714929024,-0.0372528730921169,0.0162517522185928,-0.0662996035299481,-0.0097966528842725,0.9486,0.791145,-0.0372408514281037
"A_threshold",2200,0.55,-0.00999452050389957,-0.00997095868335191,0.0144060782338723,-0.0535216800112323,0.0493996014704812,0.723038181818182,0.296342727272727,-0.0100039272727273
"B_smooth_logistic",2200,0.55,-0.0378127793965974,-0.0377973134386773,0.0152882709281931,-0.0651248198584616,-0.0120267199017531,0.962527272727273,0.821814545454545,-0.0372328128908995
"A_threshold",2800,0.7,-0.0104394863530779,-0.0104190539728216,0.0138574181658768,-0.052349621545169,0.0489941547632295,0.745362857142857,0.289936428571429,-0.00999257142857143
"B_smooth_logistic",2800,0.7,-0.0375202265562405,-0.0375131983214349,0.0149329913639058,-0.0643441483655353,-0.0125188529212638,0.970163571428571,0.823517142857143,-0.0372265434956656
"A_threshold",3400,0.85,-0.0106593371384621,-0.0106442711240244,0.0134960946425363,-0.0518283333773561,0.0482645893902205,0.759813529411765,0.287495882352941,-0.0100002117647059
"B_smooth_logistic",3400,0.85,-0.0374998088421108,-0.0374916763171209,0.0148036009738173,-0.0640745335082977,-0.0127149075203097,0.972529411764706,0.828892352941176,-0.0372380640472057
"A_threshold",4000,1,-0.0104888510252343,-0.0104785370202435,0.013329921156302,-0.0510160578152838,0.0489541086435299,0.7670485,0.277284,-0.01000098
"B_smooth_logistic",4000,1,-0.0376034160745817,-0.0375927844622981,0.0145505995286985,-0.063656006219696,-0.0131923975029422,0.9778935,0.836951,-0.0372412171241861
