"scenario","jaccard_threshold","naive_first_stop_n","stable_first_stop_n"
"A_threshold",0.5,1918.23204419889,2017.67955801105
"B_smooth_logistic",0.5,1680,1733.33333333333
"A_threshold",0.6,1912.1387283237,2071.67630057803
"B_smooth_logistic",0.6,1680,1756.36363636364
"A_threshold",0.7,1907.31707317073,2214.63414634146
"B_smooth_logistic",0.7,1680,1813.33333333333
"A_threshold",0.75,1898.08917197452,2268.7898089172
"B_smooth_logistic",0.75,1676.67342799189,1859.22920892495
"A_threshold",0.8,1883.78378378378,2285.13513513513
"B_smooth_logistic",0.8,1675.76374745418,1945.82484725051
"A_threshold",0.9,1829.41176470588,2470.58823529412
"B_smooth_logistic",0.9,1644.49152542373,2170.76271186441
