"scenario","jaccard_threshold","naive_stopped","stable_stopped","naive_agrees_final","stable_agrees_final","naive_reversal","stable_reversal"
"A_threshold",0.5,0.392,0.362,0.792,0.81,0.208,0.184
"B_smooth_logistic",0.5,0.99,0.99,0.988,0.988,0.012,0.012
"A_threshold",0.6,0.392,0.346,0.792,0.826,0.208,0.168
"B_smooth_logistic",0.6,0.99,0.99,0.988,0.988,0.012,0.012
"A_threshold",0.7,0.392,0.328,0.792,0.844,0.208,0.15
"B_smooth_logistic",0.7,0.99,0.99,0.988,0.988,0.012,0.012
"A_threshold",0.75,0.392,0.314,0.792,0.854,0.208,0.138
"B_smooth_logistic",0.75,0.99,0.986,0.988,0.984,0.012,0.012
"A_threshold",0.8,0.392,0.296,0.792,0.86,0.208,0.126
"B_smooth_logistic",0.8,0.99,0.982,0.988,0.984,0.012,0.01
"A_threshold",0.9,0.392,0.204,0.792,0.88,0.208,0.07
"B_smooth_logistic",0.9,0.99,0.944,0.988,0.95,0.012,0.008
